#Age	d18O
#(yr BP)	(‰)
4709.6	-44.79
4718.0	-45.5
4726.5	-44.44
4735.1	-44.79
4743.7	-44.85
4752.3	-44.15
4761.1	-45.58
4769.8	-44.88
4778.1	-43.19
4785.7	-43.41
4793.4	-44.31
4801.5	-44.83
4809.9	-44.43
4818.3	-44.15
4826.6	-44.4
4834.8	-44.18
4843.0	-44.04
4851.3	-44.69
4859.8	-44.6
4868.7	-44.11
4877.2	-44.42
4885.5	-44.18
4893.7	-42.8
4902.0	-42.02
4910.1	-43.81
4918.3	-45.4
4926.7	-43.38
4935.3	-44.13
4943.9	-45.01
4952.4	-44.33
4960.8	-43.62
4969.1	-43.68
4977.6	-44.53
4986.6	-44.84
4995.5	-44.94
5004.6	-44.52
5013.6	-45.53
5022.7	-44.59
5031.4	-44.59
5039.8	-42.93
5048.1	-44.71
5056.8	-45.05
5065.8	-45.04
5074.7	-44.39
5083.6	-44.45
5092.6	-44.58
5101.6	-46.16
5110.3	-44.55
5118.6	-43.57
5127.0	-45
5135.3	-43.92
5143.7	-44.38
5152.0	-44.73
5160.8	-45.36
5170.1	-46.39
5179.4	-44.21
5187.9	-43.57
5195.8	-43.42
5203.6	-44.01
5211.7	-44.39
5220.3	-44.59
5228.8	-44.41
5237.1	-44.11
5245.3	-43.07
5253.7	-44.81
5262.0	-43.96
5270.2	-44.19
5278.4	-43.23
5286.7	-43.95
5295.2	-44.04
5303.6	-44.19
5312.4	-44.14
5321.6	-44.81
5330.7	-45.44
5339.9	-44.94
5349.1	-43.68
5358.3	-45.89
5367.5	-45.65
5377.0	-44.97
5386.4	-44.94
5395.5	-44.27
5404.5	-45.33
5413.5	-43.7
5422.4	-44.27
5431.1	-44.55
5439.8	-43.44
5448.6	-44.29
5457.6	-44.74
5466.6	-44.07
5475.3	-44.37
5484.1	-43.2
5492.8	-45.51
5501.7	-44.26
5510.7	-44.54
5519.7	-44.99
5528.8	-46.12
5538.1	-44.38
5547.3	-44.02
5556.5	-44.78
5565.7	-45.22
5574.8	-44.23
5584.0	-44.7
5593.1	-43.99
5602.6	-45.33
5612.5	-44.39
5621.8	-44.11
5630.8	-44.68
5640.0	-43.99
5649.5	-44.73
5658.9	-45.84
5668.4	-44.47
5677.8	-45.49
5687.3	-44.69
5696.6	-44.51
5705.7	-44.4
5714.9	-44.78
5723.7	-44.13
5732.0	-44.2
5740.5	-42.9
5749.2	-43.41
5758.1	-44.35
5766.9	-44.68
5775.5	-43.93
5783.8	-44.01
5792.2	-42.64
5800.9	-44.12
5810.2	-44.75
5819.4	-44.56
5828.7	-44.06
5838.2	-45.43
5847.7	-44.73
5857.1	-44.41
5866.4	-44.02
5875.7	-45.14
5885.1	-44.64
5894.6	-44.92
5904.1	-44.59
5913.7	-44.92
5923.4	-44.77
5933.0	-45.07
5942.0	-43.82
5950.5	-43.04
5959.0	-44.49
5967.8	-43.46
5977.1	-45.1
5986.6	-45.23
5995.8	-43.62
6004.9	-44.44
6013.9	-44.16
6023.5	-45.37
6033.7	-45.74
6044.0	-44.59
6053.3	-42.78
6061.9	-43.55
6070.2	-44.32
6078.6	-44.54
6087.2	-44.27
6095.8	-42.74
6104.7	-43.76
6113.9	-44.95
6123.1	-45.14
6132.3	-44.31
6141.4	-44.41
6150.5	-44.26
6159.9	-45.23
6169.6	-44.51
6179.2	-44.67
6188.6	-43.38
6197.8	-45.09
6206.9	-44.49
6216.4	-46.18
6226.2	-44.36
6235.9	-44.27
6245.5	-44.15
6254.8	-44.03
6264.2	-45.25
6273.8	-44.6
6284.4	-45.27
6294.4	-45.01
6304.3	-44.52
6314.4	-43.72
6325.8	-45.35
6335.7	-45.12
6345.6	-44.28
6355.5	-44.59
6365.7	-45.87
6376.2	-44.77
6386.8	-45.04
6397.3	-44.4
6407.9	-46
6418.5	-45.35
6428.3	-43.85
6437.4	-43.74
6446.6	-43.87
6456.1	-44.52
6465.9	-44.06
6475.8	-44.8
6485.5	-43.06
6495.2	-44.87
6504.8	-44.27
6514.6	-44.01
6524.5	-43.99
6534.5	-45.12
6544.4	-44.13
6554.3	-44.22
6564.0	-44.65
6574.0	-44.36
6584.3	-45.19
6594.7	-45.4
6604.7	-44.36
6614.2	-44.53
6623.7	-43.67
6633.1	-44.1
6642.2	-42.72
6651.3	-44.42
6660.9	-44.35
6670.9	-44.72
6680.8	-44.08
6690.5	-43.57
6700.0	-44.18
6709.5	-44.22
6719.7	-45.54
6730.5	-44.71
6741.3	-45.21
6751.8	-44.78
6761.9	-45.09
6772.0	-43.81
6782.1	-45.34
6792.1	-43.51
6802.0	-44.37
6811.9	-44.46
6821.8	-43.8
6831.7	-44.72
6841.9	-44.73
6852.3	-44.68
6862.7	-44.95
6873.0	-44.46
6882.8	-43.95
6892.3	-44.15
6902.1	-45.27
6912.1	-43.87
6922.1	-44.67
6932.2	-44.83
6942.1	-44.33
6952.1	-44.5
6962.6	-44.58
6973.4	-46.58
6984.3	-44.87
6994.3	-43.5
7003.6	-43.89
7013.0	-44.24
7022.6	-43.68
7032.6	-44.53
7042.6	-45.39
7052.2	-44.73
7061.9	-44.14
7071.6	-45.19
7081.2	-43.89
7090.7	-44.59
7100.4	-45.14
7110.2	-45.1
7120.1	-44.43
7130.0	-44.61
7140.1	-45.66
7150.5	-45.27
7160.9	-44.7
7170.9	-44.02
7180.8	-44.79
7191.1	-44.29
7201.6	-44.95
7212.3	-44.77
7223.0	-44.27
7233.8	-45.26
7244.4	-44.78
7254.5	-44.55
7264.7	-44.53
7275.0	-45.79
7285.3	-44.59
7295.2	-44.14
7304.9	-44.19
7314.5	-44.79
7324.3	-44.52
7334.2	-45.2
7344.0	-44.11
7353.7	-44.34
7363.1	-43.11
7372.5	-45.04
7382.5	-45.25
7393.2	-46.18
7403.8	-44.53
7414.2	-45.36
7424.3	-44.34
7434.3	-44.57
7444.4	-44.65
7454.6	-46.28
7464.7	-43.73
7474.8	-44.65
7484.9	-44.92
7495.0	-44.66
7505.2	-44.64
7515.4	-45.81
7525.6	-44.3
7535.6	-44.72
7545.5	-44.91
7555.3	-43.94
7565.1	-44.68
7575.0	-44.69
7585.0	-44.35
7595.0	-44.52
7605.0	-44.59
7615.1	-45.01
7624.9	-44.56
7634.5	-44.65
7644.1	-43.58
7654.3	-45.27
7665.2	-45.17
7676.0	-45.65
7686.8	-45.59
7697.7	-45.59
7708.5	-45.03
7719.0	-45.31
7729.1	-44.97
7739.1	-43.85
7749.1	-43.13
7758.9	-44.89
7768.7	-45.44
7778.7	-44.78
7789.1	-44.74
7799.4	-45.21
7809.6	-43.86
7819.7	-45.14
7829.8	-45.22
7839.9	-43.82
7850.0	-45.06
7860.0	-45.24
7868.8	-44.66
7879.1	-45.14
7889.9	-45.08
7900.5	-45.13
7911.0	-44.89
7921.4	-44.84
7931.6	-45.3
7941.6	-44.08
7951.4	-44.06
7961.5	-45.96
7971.9	-44.9
7982.8	-45.13
7993.5	-46.61
8004.0	-44.94
8014.0	-45.29
8024.4	-45.13
8035.1	-45.51
8045.8	-45.54
8056.3	-44.89
8067.8	-44.59
8077.7	-45.36
8087.4	-45.54
8097.9	-44.92
8108.5	-44.72
8119.1	-45.41
8129.7	-45.57
8140.4	-44.53
8150.8	-44.63
8160.9	-44.36
8170.5	-44.28
8180.4	-45.89
8190.8	-45.3
8201.2	-45.01
8211.7	-46.02
8222.2	-46.08
8232.9	-44.66
8243.3	-44.13
8253.5	-46.11
8263.8	-44.74
8274.6	-44.15
8287.0	-44.19
8296.6	-43.97
8306.8	-45.73
8317.7	-45.01
8328.1	-45.31
8338.2	-45.53
8348.4	-46
8358.6	-45.53
8369.6	-45.47
8380.0	-45.13
8390.4	-45.7
8400.6	-45.08
8411.1	-44.98
8422.7	-44.96
8433.0	-44.38
8443.1	-44.77
8453.2	-44.46
8463.6	-45.98
8474.5	-43.93
8485.3	-45.73
8495.9	-44.82
8506.5	-44.5
8517.0	-45.37
8527.6	-45.23
8538.3	-44.04
8549.1	-46
8560.0	-44.41
8571.1	-45.52
8582.1	-45.22
8593.1	-44.68
8604.0	-45.29
8614.8	-44.81
8624.5	-44.9
8634.7	-46.51
8644.8	-46.48
8655.0	-45.38
8665.9	-44.44
8676.9	-45.01
8687.8	-44.84
8698.7	-45
8709.5	-44.39
8720.3	-45.04
8731.2	-44.62
8742.0	-44.59
8753.2	-45.14
8764.3	-45.02
8774.9	-44.51
8785.0	-46.02
8794.7	-43.15
8804.5	-43.96
8814.6	-44.84
8825.3	-44.67
8835.9	-46.03
8846.6	-45.98
8857.4	-45.62
8868.1	-44.42
8878.3	-43.14
8887.8	-44.57
8897.3	-44.61
8907.4	-44.95
8918.0	-45.58
8928.9	-44.81
8940.5	-44.58
8951.5	-45.46
8962.3	-45.1
8972.7	-44.84
8982.9	-44.22
8993.0	-44.34
9003.2	-44.71
9013.4	-43.61
9023.6	-45.23
9034.3	-45.51
9045.7	-45.35
9057.0	-45.47
9068.3	-44.85
9079.7	-44.94
9090.0	-44.16
9099.7	-41.68
9110.1	-44.25
9120.5	-45.99
9131.2	-44.72
9141.5	-44.34
9151.6	-44.01
9162.2	-45.72
9173.2	-44.56
9184.1	-44.76
9194.5	-43.32
9204.3	-44.01
9214.9	-44.56
9225.8	-43.92
9236.8	-43.86
9247.8	-44.73
9259.1	-45.39
9270.2	-45
9281.3	-43.1
9291.6	-44.19
9301.9	-45.25
9313.5	-43.97
9324.4	-44.82
9336.2	-44.58
9349.3	-44.74
9360.7	-45
9371.8	-45.78
9383.0	-43.91
9394.1	-44.51
9405.2	-45.35
9416.3	-44.57
9427.3	-44.77
9438.0	-44.4
9448.8	-44.4
9460.0	-44.47
9471.5	-44.76
9483.1	-44.06
9494.7	-43.37
9506.5	-45.34
9518.3	-45.08
9529.6	-44.13
9540.7	-44.3
9551.7	-43.32
9562.7	-43.99
9573.7	-44.24
9583.0	-44.39
9592.5	-43.83
9602.3	-44.95
9613.2	-44.49
9624.3	-43.69
9635.0	-42.83
9645.6	-44.41
9656.5	-43.51
9667.7	-44.4
9678.8	-44.05
9689.5	-44.53
9700.4	-44.45
9711.3	-43.98
9722.4	-44.83
9733.3	-45.84
9744.1	-43.58
9754.6	-43.51
9765.6	-43.75
9776.5	-44.4
9787.6	-44.15
9798.7	-44.16
9809.7	-44.21
9821.1	-43.51
9832.7	-45.3
9844.6	-45.03
9856.2	-43.74
9867.3	-43.89
9878.4	-43.64
9889.8	-43.9
9901.2	-44.51
9912.3	-44.21
9923.8	-43.45
9935.1	-44.09
9946.5	-44.26
9957.8	-43.47
9969.1	-43.74
9980.3	-44.08
9991.6	-44.7
10003.1	-43.85
10014.5	-44.13
10025.5	-43.79
10036.3	-44.57
10047.1	-44.93
10058.1	-44.2
10069.1	-45.1
10080.2	-44.26
10091.6	-44.4
10102.7	-43.15
10113.8	-44.98
10125.4	-43.84
10137.0	-44.11
10148.6	-44.53
10159.8	-44.33
10170.5	-42.48
10181.2	-43.27
10192.4	-43.55
10204.2	-44.31
10215.9	-44.82
10227.4	-44.71
10238.5	-42.87
10249.3	-43.54
10260.5	-44.37
10272.0	-44.08
10283.5	-44.01
10294.6	-43.56
10305.5	-44.37
10316.4	-43.1
10327.5	-44.11
10338.7	-43.76
10349.9	-44.34
10359.6	-43.75
10371.0	-43.34
10382.1	-44.15
10393.3	-43.68
10404.6	-43.47
10416.0	-44.65
10427.2	-43.8
10438.2	-44.03
10449.3	-43.09
10460.9	-43.94
10472.5	-44.32
10483.6	-45.02
10493.9	-42.4
10504.1	-43.08
10514.7	-43.57
10526.0	-44.19
10537.9	-43.6
10549.7	-44.46
10561.6	-43.69
10573.3	-42.99
10584.3	-44.1
10595.5	-43.09
10607.1	-44.25
10618.7	-44.15
10630.2	-43.63
10641.7	-44.18
10653.1	-43.27
10664.4	-43.2
10675.8	-43.7
10687.4	-43.61
10699.1	-44.54
10710.9	-43.25
10722.1	-43.47
