#Age	d18O
#(yr BP)	(‰)
15413.6	-38.72
15462.9	-39.01
15513.5	-38.59
15617.2	-38.79
15722.3	-38.74
15775.4	-39.00
15828.5	-38.83
15880.8	-38.20
15932.8	-38.81
15985.8	-39.05
16039.1	-39.36
16094.1	-38.98
16152.5	-39.21
16213.9	-39.59
16277.3	-39.47
16341.4	-39.46
16406.6	-39.86
16472.3	-39.71
16537.1	-39.89
16601.0	-39.02
16663.5	-39.22
16725.5	-39.84
16789.3	-39.61
16856.7	-40.59
16926.4	-40.05
16996.5	-40.81
17066.8	-39.85
17137.1	-40.58
17208.6	-40.68
17280.7	-40.54
17352.4	-40.00
17426.4	-41.51
17502.3	-40.28
17575.9	-40.35
17654.5	-41.16
17732.4	-40.84
17805.9	-41.09
17881.9	-40.95
17958.5	-40.97
18036.7	-41.28
18117.7	-41.57
18200.3	-41.32
18282.3	-41.32
18363.2	-41.18
18443.1	-40.90
18522.4	-41.73
18602.7	-41.63
18681.5	-40.16
18758.8	-41.63
18841.7	-41.52
18930.0	-41.58
19018.0	-41.42
19104.8	-40.91
19191.9	-41.59
19279.2	-41.17
19367.5	-41.19
19457.5	-41.07
19549.9	-41.38
19644.4	-41.37
19742.0	-41.00
19843.3	-41.20
19944.9	-41.60
20043.6	-41.76
20140.4	-40.93
20235.3	-41.88
20327.9	-40.90
20421.3	-41.42
20516.2	-41.28
20606.3	-41.15
20693.9	-41.18
20786.6	-40.90
20880.9	-41.50
20974.6	-41.82
21067.4	-41.44
21160.2	-41.49
21253.9	-41.50
21348.3	-41.64
21443.4	-41.27
21537.0	-41.54
21628.3	-41.84
21719.5	-41.70
21811.3	-41.54
21903.6	-41.80
22087.2	-41.03
22178.4	-41.95
22269.5	-41.13
22359.4	-41.19
22448.0	-40.83
22536.1	-41.24
22625.2	-41.11
22715.4	-41.30
22806.8	-41.34
22898.4	-41.19
22989.7	-41.28
23081.6	-41.55
23175.0	-41.25
23363.5	-41.35
23456.8	-41.17
23550.3	-41.24
23643.5	-40.52
23736.1	-41.39
23831.9	-41.39
23930.0	-40.93
24029.4	-41.80
24127.4	-41.92
24227.3	-41.35
24328.5	-41.06
24426.9	-41.19
24529.9	-41.63
24635.9	-41.29
24740.8	-41.71
24844.8	-41.47
24946.3	-41.17
25050.1	-41.23
25158.5	-41.25
25266.4	-41.49
25371.9	-41.08
25476.9	-41.74
25582.7	-41.52
25686.1	-41.75
25788.8	-41.88
25897.5	-41.31
26006.7	-40.92
26113.6	-41.56
26222.9	-41.54
26333.3	-41.45
26442.8	-41.83
26549.5	-41.20
26654.6	-41.43
26764.6	-41.65
26881.2	-41.85
26996.8	-41.43
27112.9	-41.79
27233.6	-41.89
27351.6	-41.75
27458.3	-41.65
27556.0	-40.91
27655.2	-40.47
27760.3	-41.54
27872.2	-41.45
27982.0	-40.92
28084.5	-40.97
28186.7	-41.00
28292.2	-41.55
28400.5	-41.69
28505.3	-41.62
28603.8	-41.79
28701.8	-41.21
28801.0	-40.97
28897.3	-41.16
28989.7	-40.55
29078.9	-41.17
29167.0	-40.86
29255.4	-41.03
29344.7	-41.25
29524.7	-41.11
29609.1	-41.18
29690.9	-41.10
29773.4	-41.10
29857.9	-41.22
29942.8	-41.03
30026.1	-40.85
30108.6	-41.42
30197.2	-41.71
30308.1	-41.78
30427.6	-41.46
30531.2	-41.90
30620.4	-41.31
30702.3	-41.28
30782.8	-41.96
30862.8	-41.54
30947.9	-41.31
31035.2	-42.21
31123.1	-41.85
31213.9	-41.46
31307.4	-41.01
31404.4	-41.72
31499.8	-41.62
31605.5	-41.65
31723.2	-41.53
31842.5	-41.83
31964.4	-41.44
32085.9	-41.36
32207.5	-40.92
32332.2	-40.81
32454.7	-41.36
32567.6	-41.33
32680.7	-41.08
32790.2	-41.16
32885.9	-41.03
32977.8	-41.29
33070.8	-41.15
33164.7	-41.38
33258.8	-41.31
33352.3	-42.46
33440.8	-41.94
33523.5	-40.72
33607.3	-41.17
33695.1	-40.37
33783.2	-41.09
33872.4	-40.79
33970.0	-40.66
34071.4	-41.30
34170.9	-41.02
34269.2	-40.62
34368.7	-41.14
34473.5	-41.28
34575.4	-41.09
34667.6	-41.14
34759.0	-41.22
34849.8	-41.60
34935.1	-40.95
35018.2	-41.23
35099.8	-41.23
35178.5	-40.84
35255.0	-41.12
35330.8	-40.63
35405.5	-40.72
35480.2	-40.71
35559.0	-40.41
35640.5	-40.68
35721.7	-40.75
35798.7	-40.32
35875.4	-40.42
35952.7	-40.66
36028.1	-40.87
36108.2	-40.34
36185.5	-40.74
36257.8	-41.06
36334.1	-40.79
36410.7	-41.43
36486.1	-41.20
36562.1	-41.59
36637.2	-41.36
36710.0	-40.86
36783.0	-40.90
36859.4	-40.73
36935.4	-40.88
37008.4	-40.65
37062.7	-41.04
37099.1	-41.78
37135.4	-40.67
37171.5	-41.27
37207.6	-40.98
37243.5	-41.05
37281.9	-40.70
37322.8	-40.79
37362.6	-41.87
37401.4	-41.39
37440.2	-40.93
37478.9	-40.64
37519.0	-41.44
37560.4	-41.30
37601.3	-40.59
37641.9	-40.45
37682.0	-40.78
37721.6	-40.57
37760.8	-40.35
37799.7	-40.43
37838.3	-40.66
37876.8	-40.33
37915.8	-40.50
37955.5	-39.98
37995.2	-40.92
38034.9	-39.94
38074.4	-40.89
38113.7	-39.66
38152.3	-39.68
38190.3	-40.17
38228.7	-39.21
38267.6	-39.82
38305.9	-39.22
38343.8	-40.05
38381.5	-39.87
38419.1	-39.81
38456.1	-40.00
38492.6	-40.39
38529.2	-39.67
38565.8	-40.68
38602.2	-40.23
38638.3	-39.91
38674.3	-40.22
38710.1	-40.06
38746.2	-40.59
38782.6	-40.83
38818.6	-39.72
38854.1	-40.48
38888.8	-40.08
38922.8	-40.90
38956.4	-39.96
38989.6	-39.85
39023.1	-40.76
39057.1	-41.09
39089.0	-40.80
39118.9	-40.78
39150.6	-40.35
39184.3	-40.04
39218.5	-40.04
39253.2	-39.74
39288.1	-40.34
39323.2	-40.89
39358.5	-40.27
39394.1	-39.85
39429.6	-41.19
39465.1	-40.56
39500.9	-40.54
39537.1	-40.58
39573.5	-40.95
39610.2	-40.94
39646.7	-41.40
39683.2	-41.41
39719.8	-40.80
39756.5	-41.19
39793.1	-41.08
39829.8	-41.56
39867.6	-41.97
39906.5	-40.90
39946.5	-41.91
39987.7	-41.13
40029.6	-41.94
40072.4	-41.87
40114.2	-41.63
40155.2	-40.27
40196.4	-41.11
40237.8	-40.48
40279.8	-40.98
40322.6	-41.10
40363.2	-41.45
40401.9	-40.62
40443.5	-41.14
40488.1	-41.20
40532.1	-41.21
40575.5	-41.10
40614.5	-40.36
40649.2	-41.29
40688.9	-41.72
40733.8	-41.07
40780.3	-41.22
40828.3	-41.69
40873.8	-41.10
40916.7	-41.04
40959.0	-41.38
41000.6	-41.72
41040.7	-41.92
41079.3	-41.49
41116.3	-41.55
41151.6	-40.61
41187.8	-41.39
41225.0	-41.40
41262.0	-41.16
41298.7	-41.08
41335.5	-41.05
41372.3	-40.31
41408.7	-40.60
41444.8	-41.16
41480.6	-40.69
41516.2	-40.87
41551.8	-40.09
41587.4	-40.42
41623.3	-41.06
41659.5	-40.55
41696.1	-40.94
41733.2	-41.07
41770.8	-40.39
41809.0	-40.65
41848.0	-41.63
41887.8	-41.07
41927.4	-40.80
41966.8	-41.20
42005.0	-41.03
42041.9	-40.72
42079.3	-40.85
42117.4	-41.59
42157.2	-41.37
42198.6	-41.67
42239.3	-41.28
42279.3	-41.28
42319.4	-42.01
42359.5	-41.06
42400.2	-41.71
42441.3	-40.64
42482.0	-41.00
42522.1	-41.31
42563.1	-40.68
42605.2	-40.16
42647.5	-40.46
42690.1	-41.13
42734.8	-40.89
42781.6	-40.93
42824.0	-40.77
42862.1	-40.94
42899.7	-40.42
42937.1	-40.88
42976.4	-41.31
43017.7	-40.70
43058.4	-40.12
43098.6	-39.81
43139.3	-40.55
43180.5	-40.51
43221.9	-40.62
43263.6	-40.87
43305.2	-40.69
43346.7	-39.64
43388.0	-39.66
43428.9	-40.51
43469.4	-40.54
43509.7	-40.47
43550.3	-39.74
43591.0	-40.50
43631.8	-41.05
43672.5	-40.09
43713.5	-41.06
